"filename", "language", "Markdown", "C#", "JSON", "JSON with Comments", "TypeScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\homepage\homepage.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\homepage\homepage.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\homepage\homepage.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\homepage\homepage.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 134, 0, 0, 6, 22, 162
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 62, 0, 23, 8, 93
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 1, 3, 21
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\patentdetails\patentdetails.component.css", "CSS", 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\patentdetails\patentdetails.component.html", "HTML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\patentdetails\patentdetails.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\patentdetails\patentdetails.component.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 10, 7, 78
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\signup\signup.component.css", "CSS", 0, 0, 0, 0, 0, 162, 0, 0, 5, 25, 192
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\signup\signup.component.html", "HTML", 0, 0, 0, 0, 0, 0, 97, 0, 0, 10, 107
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\signup\signup.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\signup\signup.component.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\welcomepage\welcomepage.component.css", "CSS", 0, 0, 0, 0, 0, 176, 0, 0, 5, 32, 213
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\welcomepage\welcomepage.component.html", "HTML", 0, 0, 0, 0, 0, 0, 124, 0, 4, 7, 135
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\welcomepage\welcomepage.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\Components\welcomepage\welcomepage.component.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\main.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\tsconfig.app.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 2, 1, 16
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 30, 0, 0, 0, 0, 2, 1, 33
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\tsconfig.spec.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 2, 1, 16
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\readme.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 15, 397, 13916, 30, 354, 776, 445, 13, 97, 334, 16377
